Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
13/10/02,773.72998,773.72998,773.72998,773.73 ,0,1,13/07/02,707.400024,1,13/04/02,708.090027,1,13/01/02,687.359985,1,12/10/02,643.109985,1,12/07/02,575.76001
13/10/04,771.159973,772.97998,771.159973,772.98 ,0,1,13/07/04,714.309998,0,13/04/04,696.48999,1,13/01/04,687.809998,1,12/10/04,643.960022,1,12/07/04,582.869995
13/10/07,770.299988,770.299988,770.299988,770.30 ,0,,13/07/07,,,13/04/07,,,13/01/07,684.190002,1,12/10/07,,,12/07/07,
13/10/08,767.51001,767.51001,767.51001,767.51 ,0,1,13/07/08,712.669983,0,13/04/08,683.77002,1,13/01/08,681.369995,1,12/10/08,642.809998,0,12/07/08,
13/10/09,763.73999,763.73999,763.73999,763.74 ,0,1,13/07/09,720.599976,0,13/04/09,681.820007,0,13/01/09,684.179993,1,12/10/09,638.219971,1,12/07/09,567.659973
13/10/10,778.059998,778.059998,778.059998,778.06 ,0,1,13/07/10,719.799988,0,13/04/10,696.859985,1,13/01/10,683.369995,1,12/10/10,635.900024,1,12/07/10,572.669983
13/10/11,781.25,781.25,781.25,781.25 ,0,1,13/07/11,728.869995,0,13/04/11,702.640015,1,13/01/11,684.26001,1,12/10/11,642.330017,1,12/07/11,573.109985
13/10/14,781.25,781.25,781.25,781.25 ,0,,13/07/14,,,13/04/14,,,13/01/14,685.280029,1,12/10/14,,,12/07/14,
13/10/15,788.75,788.75,788.75,788.75 ,0,1,13/07/15,734.789978,0,13/04/15,688.960022,1,13/01/15,680.77002,1,12/10/15,641,0,12/07/15,
13/10/16,791.849976,791.849976,791.849976,791.85 ,0,1,13/07/16,732.039978,0,13/04/16,686.169983,1,13/01/16,682.359985,1,12/10/16,650.710022,1,12/07/16,582.900024
13/10/17,789.619995,789.619995,789.619995,789.62 ,0,1,13/07/17,736.01001,0,13/04/17,670.969971,0,13/01/17,686.700012,1,12/10/17,652.48999,1,12/07/17,583.880005
13/10/18,795.109985,795.109985,795.109985,795.11 ,0,1,13/07/18,743.710022,0,13/04/18,668.390015,0,13/01/18,684.47998,1,12/10/18,655.570007,1,12/07/18,592.539978
13/10/21,796.409973,796.409973,796.409973,796.41 ,0,,13/07/21,,,13/04/21,,,13/01/21,688.27002,1,12/10/21,,,12/07/21,
13/10/22,802.76001,802.76001,802.76001,802.76 ,0,1,13/07/22,742.799988,0,13/04/22,669.880005,0,13/01/22,684.280029,1,12/10/22,646.659973,0,12/07/22,
13/10/23,800.419983,800.419983,800.419983,800.42 ,0,1,13/07/23,741.349976,0,13/04/23,685.130005,0,13/01/23,685.830017,1,12/10/23,633.690002,1,12/07/23,570.23999
13/10/24,805.219971,805.219971,805.219971,805.22 ,0,1,13/07/24,746.840027,0,13/04/24,693.080017,1,13/01/24,689.47998,1,12/10/24,635.650024,1,12/07/24,568.140015
13/10/25,805.530029,805.530029,805.530029,805.53 ,0,1,13/07/25,740.929993,0,13/04/25,699.039978,1,13/01/25,698.159973,1,12/10/25,636.580017,1,12/07/25,569.710022
13/10/28,804.77002,804.77002,804.77002,804.77 ,0,,13/07/28,,,13/04/28,,,13/01/28,696.469971,1,12/10/28,,,12/07/28,
13/10/29,808.159973,808.159973,808.159973,808.16 ,0,1,13/07/29,737.929993,0,13/04/29,702.190002,1,13/01/29,697.090027,1,12/10/29,636.969971,0,12/07/29,
13/10/30,808.26001,808.26001,808.26001,808.26 ,0,1,13/07/30,739.690002,0,13/04/30,705.549988,1,13/01/30,693.940002,1,12/10/30,643.840027,1,12/07/30,599.900024
13/10/31,810.47998,810.47998,810.47998,810.48 ,0,1,13/07/31,740.140015,0,13/04/30,705.549988,1,13/01/31,690.48999,1,12/10/31,642.25,1,12/07/31,599.130005
13/11/01,808.940002,808.940002,808.940002,808.94 ,0,1,13/08/01,751.73999,0,13/05/01,,,13/02/01,696.530029,1,12/11/01,648.719971,1,12/08/01,597.940002
13/11/04,811.76001,811.76001,811.76001,811.76 ,0,,13/08/04,,,13/05/04,,,13/02/04,680.390015,1,12/11/04,,,12/08/04,
13/11/05,809.330017,809.330017,809.330017,809.33 ,0,1,13/08/05,751.599976,0,13/05/05,,,13/02/05,682.719971,1,12/11/05,647.929993,0,12/08/05,
13/11/06,812.75,812.75,812.75,812.75 ,0,1,13/08/06,743.890015,0,13/05/06,722.039978,1,13/02/06,676.679993,1,12/11/06,652.179993,1,12/08/06,612.26001
13/11/07,815.01001,815.01001,815.01001,815.01 ,0,1,13/08/07,741,0,13/05/07,727.72998,1,13/02/07,677.52002,1,12/11/07,640.609985,1,12/08/07,616.25
13/11/08,814.090027,814.090027,814.090027,814.09 ,0,1,13/08/08,746.159973,0,13/05/08,733.380005,1,13/02/08,683.349976,1,12/11/08,637.609985,1,12/08/08,615.26001
13/11/11,817.210022,817.210022,817.210022,817.21 ,0,,13/08/11,,,13/05/11,,,13/02/11,681.73999,1,12/11/11,,,12/08/11,
13/11/12,814.01001,814.01001,814.01001,814.01 ,0,1,13/08/12,750.27002,0,13/05/12,,,13/02/12,684.179993,1,12/11/12,634.710022,0,12/08/12,
13/11/13,811.429993,811.429993,811.429993,811.43 ,0,1,13/08/13,755.090027,0,13/05/13,736.049988,1,13/02/13,689.679993,1,12/11/13,634.419983,1,12/08/13,610.309998
13/11/14,819.840027,819.840027,819.840027,819.84 ,0,1,13/08/14,757.450012,0,13/05/14,741.419983,1,13/02/14,683.280029,1,12/11/14,629.02002,1,12/08/14,615.460022
13/11/15,821.780029,821.780029,821.780029,821.78 ,0,1,13/08/15,751.710022,0,13/05/15,743.599976,1,13/02/15,680.580017,1,12/11/15,623.380005,1,12/08/15,613.210022
13/11/18,826.880005,826.880005,826.880005,826.88 ,0,,13/08/18,,,13/05/18,,,13/02/18,683.179993,1,12/11/18,,,12/08/18,
13/11/19,824.51001,824.51001,824.51001,824.51 ,0,1,13/08/19,750.98999,0,13/05/19,,,13/02/19,693.48999,1,12/11/19,630.190002,0,12/08/19,
13/11/20,825.159973,825.159973,825.159973,825.16 ,0,1,13/08/20,745.23999,1,13/05/20,752,1,13/02/20,691.869995,1,12/11/20,634.450012,1,12/08/20,620.960022
13/11/21,824.219971,824.219971,824.219971,824.22 ,0,1,13/08/21,744.030029,1,13/05/21,753.440002,1,13/02/21,679.780029,1,12/11/21,635.940002,1,12/08/21,625.679993
13/11/22,826.219971,826.219971,826.219971,826.22 ,0,1,13/08/22,753.799988,1,13/05/22,758.219971,1,13/02/22,685.609985,1,12/11/22,641.440002,1,12/08/22,619.450012
13/11/25,833.01001,833.01001,833.01001,833.01 ,0,,13/08/25,,,13/05/25,,,13/02/25,694.140015,1,12/11/25,,,12/08/25,
13/11/26,832.109985,832.109985,832.109985,832.11 ,0,1,13/08/26,756.97998,0,13/05/26,,,13/02/26,680.030029,1,12/11/26,645.450012,0,12/08/26,
13/11/27,836.950012,836.950012,836.950012,836.95 ,0,1,13/08/27,740.140015,1,13/05/27,745.780029,1,13/02/27,686.469971,1,12/11/27,649.22998,1,12/08/27,621.169983
13/11/28,839.77002,839.77002,839.77002,839.77 ,0,1,13/08/28,732.200012,1,13/05/28,754.570007,1,13/02/28,692.130005,1,12/11/28,649.809998,1,12/08/28,617.530029
13/11/29,841.590027,841.590027,841.590027,841.59 ,0,1,13/08/29,736.109985,1,13/05/29,742.309998,1,13/02/28,692.130005,1,12/11/29,655.22998,1,12/08/29,618.400024
13/12/02,841.590027,841.590027,841.590027,841.59 ,0,1,13/09/02,741.210022,0,13/06/02,,,13/03/02,,,12/12/02,,,12/09/02,
13/12/03,825.72998,825.72998,825.72998,825.73 ,0,1,13/09/03,735.809998,1,13/06/03,737.380005,1,13/03/03,,,12/12/03,658.140015,1,12/09/03,618.130005
13/12/04,818.780029,818.780029,818.780029,818.78 ,0,1,13/09/04,736.690002,1,13/06/04,738.650024,1,13/03/04,687.210022,1,12/12/04,657.75,1,12/09/04,611.02002
13/12/05,813.780029,813.780029,813.780029,813.78 ,0,1,13/09/05,740.460022,0,13/06/05,729.900024,1,13/03/05,701.869995,1,12/12/05,659.450012,1,12/09/05,613.340027
13/12/06,821.140015,821.140015,821.140015,821.14 ,0,1,13/09/06,743.059998,0,13/06/06,722,1,13/03/06,705.679993,1,12/12/06,666.22998,1,12/09/06,630.090027
13/12/09,823.559998,823.559998,823.559998,823.56 ,0,1,13/09/09,743.599976,0,13/06/09,,,13/03/09,,,12/12/09,,,12/09/09,
13/12/10,817.219971,817.219971,817.219971,817.22 ,0,1,13/09/10,758,0,13/06/10,738.909973,1,13/03/10,,,12/12/10,665.719971,1,12/09/10,634.289978
13/12/11,813.98999,813.98999,813.98999,813.99 ,0,1,13/09/11,762.030029,0,13/06/11,731.530029,1,13/03/11,710.619995,1,12/12/11,670.960022,1,12/09/11,641.570007
13/12/12,808.039978,808.039978,808.039978,808.04 ,0,1,13/09/12,761.859985,0,13/06/12,725.710022,1,13/03/12,709.280029,1,12/12/12,672.869995,1,12/09/12,644.640015
13/12/13,806.969971,806.969971,806.969971,806.97 ,0,1,13/09/13,763.359985,0,13/06/13,721.419983,1,13/03/13,709.669983,1,12/12/13,670.070007,1,12/09/13,641.830017
13/12/16,819.849976,819.849976,819.849976,819.85 ,0,1,13/09/16,772.419983,0,13/06/16,,,13/03/16,,,12/12/16,,,12/09/16,
13/12/17,814.390015,814.390015,814.390015,814.39 ,0,1,13/09/17,770.47998,0,13/06/17,732.130005,1,13/03/17,,,12/12/17,671.950012,1,12/09/17,649.809998
13/12/18,822.26001,822.26001,822.26001,822.26 ,0,1,13/09/18,773.830017,0,13/06/18,733.669983,1,13/03/18,713.119995,1,12/12/18,676.059998,1,12/09/18,644.960022
13/12/19,834.929993,834.929993,834.929993,834.93 ,0,1,13/09/19,778.059998,0,13/06/19,731.289978,1,13/03/19,707.669983,1,12/12/19,677.580017,1,12/09/19,648.900024
13/12/20,840.22998,840.22998,840.22998,840.23 ,0,1,13/09/20,776.200012,0,13/06/20,708.580017,0,13/03/20,711.539978,1,12/12/20,677.880005,1,12/09/20,649.01001
13/12/23,847.559998,847.559998,847.559998,847.56 ,0,1,13/09/23,773.150024,0,13/06/23,,,13/03/23,,,12/12/23,,,12/09/23,
13/12/27,847.559998,855.97998,847.559998,855.98 ,0,1,13/09/27,775.909973,0,13/06/27,713.5,1,13/03/27,694.530029,1,12/12/27,676.090027,1,12/09/27,640.940002
13/12/30,853.140015,853.140015,853.140015,853.14 ,0,1,13/09/30,770.590027,0,13/06/30,,,13/03/30,,,12/12/30,,,12/09/30,
14/01/02,853.140015,853.140015,841.289978,841.29 ,0,1,13/10/02,773.72998,0,13/07/02,707.400024,0,13/04/02,708.090027,1,13/01/02,687.359985,1,12/10/02,643.109985
14/01/03,845.200012,845.200012,845.200012,845.20 ,0,,13/10/03,,,13/07/03,700.23999,0,13/04/03,702.539978,1,13/01/03,686.01001,0,12/10/03,
14/01/06,844.559998,844.559998,844.559998,844.56 ,0,,13/10/06,,,13/07/06,,,13/04/06,,,13/01/06,,,12/10/06,
14/01/07,850.690002,850.690002,850.690002,850.69 ,0,1,13/10/07,770.299988,0,13/07/07,,,13/04/07,,,13/01/07,684.190002,0,12/10/07,
14/01/08,850.26001,850.26001,850.26001,850.26 ,0,1,13/10/08,767.51001,0,13/07/08,712.669983,1,13/04/08,683.77002,1,13/01/08,681.369995,1,12/10/08,642.809998
14/01/09,844.530029,844.530029,844.530029,844.53 ,0,1,13/10/09,763.73999,0,13/07/09,720.599976,1,13/04/09,681.820007,0,13/01/09,684.179993,1,12/10/09,638.219971
14/01/10,849.450012,849.450012,849.450012,849.45 ,0,1,13/10/10,778.059998,0,13/07/10,719.799988,1,13/04/10,696.859985,1,13/01/10,683.369995,1,12/10/10,635.900024
14/01/13,853.309998,853.309998,853.309998,853.31 ,0,,13/10/13,,,13/07/13,,,13/04/13,,,13/01/13,,,12/10/13,
14/01/14,854.76001,854.76001,854.76001,854.76 ,0,1,13/10/14,781.25,0,13/07/14,,,13/04/14,,,13/01/14,685.280029,0,12/10/14,
14/01/15,870.799988,870.799988,870.799988,870.80 ,0,1,13/10/15,788.75,0,13/07/15,734.789978,1,13/04/15,688.960022,1,13/01/15,680.77002,1,12/10/15,641
14/01/16,869.960022,869.960022,869.960022,869.96 ,0,1,13/10/16,791.849976,0,13/07/16,732.039978,1,13/04/16,686.169983,1,13/01/16,682.359985,1,12/10/16,650.710022
14/01/17,872.159973,872.159973,872.159973,872.16 ,0,1,13/10/17,789.619995,0,13/07/17,736.01001,1,13/04/17,670.969971,0,13/01/17,686.700012,1,12/10/17,652.48999
14/01/20,869.940002,869.940002,869.940002,869.94 ,0,,13/10/20,,,13/07/20,,,13/04/20,,,13/01/20,,,12/10/20,
14/01/21,871.200012,871.200012,871.200012,871.20 ,0,1,13/10/21,796.409973,0,13/07/21,,,13/04/21,,,13/01/21,688.27002,0,12/10/21,
14/01/22,870.640015,870.640015,870.640015,870.64 ,0,1,13/10/22,802.76001,0,13/07/22,742.799988,1,13/04/22,669.880005,0,13/01/22,684.280029,1,12/10/22,646.659973
14/01/23,863.109985,863.109985,863.109985,863.11 ,0,1,13/10/23,800.419983,0,13/07/23,741.349976,1,13/04/23,685.130005,0,13/01/23,685.830017,1,12/10/23,633.690002
14/01/24,841.900024,841.900024,841.900024,841.90 ,0,1,13/10/24,805.219971,0,13/07/24,746.840027,1,13/04/24,693.080017,1,13/01/24,689.47998,1,12/10/24,635.650024
14/01/27,836.820007,836.820007,836.820007,836.82 ,0,,13/10/27,,,13/07/27,,,13/04/27,,,13/01/27,,,12/10/27,
14/01/28,843.289978,843.289978,843.289978,843.29 ,0,1,13/10/28,804.77002,0,13/07/28,,,13/04/28,,,13/01/28,696.469971,0,12/10/28,
14/01/29,837.150024,837.150024,837.150024,837.15 ,0,1,13/10/29,808.159973,0,13/07/29,737.929993,1,13/04/29,702.190002,1,13/01/29,697.090027,1,12/10/29,636.969971
14/01/30,839.719971,839.719971,839.719971,839.72 ,0,1,13/10/30,808.26001,0,13/07/30,739.690002,1,13/04/30,705.549988,1,13/01/30,693.940002,1,12/10/30,643.840027
14/01/31,834.359985,834.359985,834.359985,834.36 ,0,1,13/10/31,810.47998,0,13/07/31,740.140015,1,13/04/30,705.549988,1,13/01/31,690.48999,1,12/10/31,642.25
14/02/03,824.140015,824.140015,824.140015,824.14 ,0,,13/11/03,,,13/08/03,,,13/05/03,722.469971,1,13/02/03,,,12/11/03,
14/02/04,819.570007,819.570007,819.570007,819.57 ,0,1,13/11/04,811.76001,0,13/08/04,,,13/05/04,,,13/02/04,680.390015,0,12/11/04,
14/02/05,819.070007,819.070007,819.070007,819.07 ,0,1,13/11/05,809.330017,0,13/08/05,751.599976,1,13/05/05,,,13/02/05,682.719971,1,12/11/05,647.929993
14/02/06,831.75,831.75,831.75,831.75 ,0,1,13/11/06,812.75,0,13/08/06,743.890015,1,13/05/06,722.039978,1,13/02/06,676.679993,1,12/11/06,652.179993
14/02/07,835.719971,835.719971,835.719971,835.72 ,0,1,13/11/07,815.01001,0,13/08/07,741,1,13/05/07,727.72998,1,13/02/07,677.52002,1,12/11/07,640.609985
14/02/10,835.320007,835.320007,835.320007,835.32 ,0,,13/11/10,,,13/08/10,,,13/05/10,736.169983,1,13/02/10,,,12/11/10,
14/02/11,850.700012,850.700012,850.700012,850.70 ,0,1,13/11/11,817.210022,0,13/08/11,,,13/05/11,,,13/02/11,681.73999,0,12/11/11,
14/02/12,856.309998,856.309998,856.309998,856.31 ,0,1,13/11/12,814.01001,0,13/08/12,750.27002,1,13/05/12,,,13/02/12,684.179993,1,12/11/12,634.710022
14/02/13,860.869995,860.869995,860.869995,860.87 ,0,1,13/11/13,811.429993,0,13/08/13,755.090027,1,13/05/13,736.049988,1,13/02/13,689.679993,1,12/11/13,634.419983
14/02/14,866.570007,866.570007,866.570007,866.57 ,0,1,13/11/14,819.840027,0,13/08/14,757.450012,1,13/05/14,741.419983,1,13/02/14,683.280029,1,12/11/14,629.02002
14/02/17,867.390015,867.390015,867.390015,867.39 ,0,,13/11/17,,,13/08/17,,,13/05/17,746.48999,1,13/02/17,,,12/11/17,
14/02/18,867.27002,867.27002,867.27002,867.27 ,0,1,13/11/18,826.880005,0,13/08/18,,,13/05/18,,,13/02/18,683.179993,0,12/11/18,
14/02/19,867.330017,867.330017,867.330017,867.33 ,0,1,13/11/19,824.51001,0,13/08/19,750.98999,1,13/05/19,,,13/02/19,693.48999,1,12/11/19,630.190002
14/02/20,863.190002,863.190002,863.190002,863.19 ,0,1,13/11/20,825.159973,0,13/08/20,745.23999,0,13/05/20,752,1,13/02/20,691.869995,1,12/11/20,634.450012
14/02/21,866.789978,866.789978,866.789978,866.79 ,0,1,13/11/21,824.219971,0,13/08/21,744.030029,0,13/05/21,753.440002,1,13/02/21,679.780029,1,12/11/21,635.940002
14/02/24,870.599976,870.599976,870.599976,870.60 ,0,,13/11/24,,,13/08/24,,,13/05/24,739.330017,1,13/02/24,,,12/11/24,
14/02/25,869.799988,869.799988,869.799988,869.80 ,0,1,13/11/25,833.01001,0,13/08/25,,,13/05/25,,,13/02/25,694.140015,0,12/11/25,
14/02/26,866.369995,866.369995,866.369995,866.37 ,0,1,13/11/26,832.109985,0,13/08/26,756.97998,1,13/05/26,,,13/02/26,680.030029,1,12/11/26,645.450012
14/02/27,860.52002,860.52002,860.52002,860.52 ,0,1,13/11/27,836.950012,0,13/08/27,740.140015,0,13/05/27,745.780029,1,13/02/27,686.469971,1,12/11/27,649.22998
14/02/28,869.309998,869.309998,869.309998,869.31 ,0,1,13/11/28,839.77002,0,13/08/28,732.200012,0,13/05/28,754.570007,1,13/02/28,692.130005,1,12/11/28,649.809998
14/03/03,840.77002,840.77002,840.77002,840.77 ,0,1,13/12/03,825.72998,0,13/09/03,735.809998,0,13/06/03,737.380005,1,13/03/03,,,12/12/03,658.140015
14/03/04,860.780029,860.780029,860.780029,860.78 ,0,1,13/12/04,818.780029,0,13/09/04,736.690002,0,13/06/04,738.650024,1,13/03/04,687.210022,1,12/12/04,657.75
14/03/05,857.52002,857.52002,857.52002,857.52 ,0,1,13/12/05,813.780029,0,13/09/05,740.460022,1,13/06/05,729.900024,1,13/03/05,701.869995,1,12/12/05,659.450012
14/03/06,858.26001,858.26001,858.26001,858.26 ,0,1,13/12/06,821.140015,0,13/09/06,743.059998,1,13/06/06,722,1,13/03/06,705.679993,1,12/12/06,666.22998
14/03/07,842.409973,842.409973,842.409973,842.41 ,0,,13/12/07,,,13/09/07,,,13/06/07,734.289978,1,13/03/07,707.679993,1,12/12/07,664.840027
14/03/10,834.840027,834.840027,834.840027,834.84 ,0,1,13/12/10,817.219971,0,13/09/10,758,1,13/06/10,738.909973,1,13/03/10,,,12/12/10,665.719971
14/03/11,837.900024,837.900024,837.900024,837.90 ,0,1,13/12/11,813.98999,0,13/09/11,762.030029,1,13/06/11,731.530029,1,13/03/11,710.619995,1,12/12/11,670.960022
14/03/12,826.950012,826.950012,826.950012,826.95 ,0,1,13/12/12,808.039978,0,13/09/12,761.859985,1,13/06/12,725.710022,1,13/03/12,709.280029,1,12/12/12,672.869995
14/03/13,812.890015,812.890015,812.890015,812.89 ,0,1,13/12/13,806.969971,0,13/09/13,763.359985,1,13/06/13,721.419983,1,13/03/13,709.669983,1,12/12/13,670.070007
14/03/14,814.900024,814.900024,814.900024,814.90 ,0,,13/12/14,,,13/09/14,,,13/06/14,724.929993,1,13/03/14,716.549988,1,12/12/14,671.409973
14/03/17,826.909973,826.909973,826.909973,826.91 ,0,1,13/12/17,814.390015,0,13/09/17,770.47998,1,13/06/17,732.130005,1,13/03/17,,,12/12/17,671.950012
14/03/18,832.5,832.5,832.5,832.50 ,0,1,13/12/18,822.26001,0,13/09/18,773.830017,1,13/06/18,733.669983,1,13/03/18,713.119995,1,12/12/18,676.059998
14/03/19,835.200012,835.200012,835.200012,835.20 ,0,1,13/12/19,834.929993,0,13/09/19,778.059998,1,13/06/19,731.289978,1,13/03/19,707.669983,1,12/12/19,677.580017
14/03/20,835.48999,835.48999,835.48999,835.49 ,0,0,13/12/20,840.22998,0,13/09/20,776.200012,1,13/06/20,708.580017,0,13/03/20,711.539978,1,12/12/20,677.880005
14/03/21,838.719971,838.719971,838.719971,838.72 ,0,,13/12/21,,,13/09/21,,,13/06/21,696.469971,0,13/03/21,705.900024,1,12/12/21,674.679993
14/03/24,825.130005,825.130005,825.130005,825.13 ,0,,13/12/24,,,13/09/24,775.48999,1,13/06/24,686.679993,1,13/03/24,,,12/12/24,
14/03/25,837.640015,837.640015,837.640015,837.64 ,0,,13/12/25,,,13/09/25,775.719971,1,13/06/25,697.369995,0,13/03/25,701.309998,0,12/12/25,
14/03/26,846.76001,846.76001,846.76001,846.76 ,0,,13/12/26,,,13/09/26,775.780029,1,13/06/26,708.309998,1,13/03/26,702.450012,0,12/12/26,
14/03/27,846.940002,846.940002,846.940002,846.94 ,0,0,13/12/27,855.97998,0,13/09/27,775.909973,1,13/06/27,713.5,1,13/03/27,694.530029,1,12/12/27,676.090027
14/03/28,858.090027,858.090027,858.090027,858.09 ,0,,13/12/28,,,13/09/28,,,13/06/28,710.590027,1,13/03/28,695.76001,1,12/12/28,673.109985
14/03/31,856.419983,856.419983,856.419983,856.42 ,0,,13/12/31,,,13/09/30,770.590027,1,13/06/30,,,13/03/31,,,12/12/31,
14/04/01,861.219971,861.219971,861.219971,861.22 ,0,,14/01/01,,,13/10/01,778.409973,1,13/07/01,713.27002,1,13/04/01,,,13/01/01,
14/04/02,863.090027,863.090027,863.090027,863.09 ,0,1,14/01/02,841.289978,0,13/10/02,773.72998,1,13/07/02,707.400024,0,13/04/02,708.090027,1,13/01/02,687.359985
14/04/03,863.52002,863.52002,863.52002,863.52 ,0,1,14/01/03,845.200012,0,13/10/03,,,13/07/03,700.23999,0,13/04/03,702.539978,1,13/01/03,686.01001
14/04/04,869.049988,869.049988,869.049988,869.05 ,0,,14/01/04,,,13/10/04,772.97998,1,13/07/04,714.309998,1,13/04/04,696.48999,1,13/01/04,687.809998
14/04/07,853.090027,853.090027,853.090027,853.09 ,0,1,14/01/07,850.690002,0,13/10/07,770.299988,1,13/07/07,,,13/04/07,,,13/01/07,684.190002
14/04/08,849.799988,849.799988,849.799988,849.80 ,0,0,14/01/08,850.26001,0,13/10/08,767.51001,1,13/07/08,712.669983,1,13/04/08,683.77002,1,13/01/08,681.369995
14/04/09,852.75,852.75,852.75,852.75 ,0,1,14/01/09,844.530029,0,13/10/09,763.73999,1,13/07/09,720.599976,1,13/04/09,681.820007,0,13/01/09,684.179993
14/04/10,848.419983,848.419983,848.419983,848.42 ,0,0,14/01/10,849.450012,0,13/10/10,778.059998,1,13/07/10,719.799988,1,13/04/10,696.859985,1,13/01/10,683.369995
14/04/11,836.23999,836.23999,836.23999,836.24 ,0,,14/01/11,,,13/10/11,781.25,1,13/07/11,728.869995,1,13/04/11,702.640015,1,13/01/11,684.26001
14/04/14,836.26001,836.26001,836.26001,836.26 ,0,0,14/01/14,854.76001,0,13/10/14,781.25,1,13/07/14,,,13/04/14,,,13/01/14,685.280029
14/04/15,821.919983,821.919983,821.919983,821.92 ,0,0,14/01/15,870.799988,0,13/10/15,788.75,1,13/07/15,734.789978,1,13/04/15,688.960022,1,13/01/15,680.77002
14/04/16,835.099976,835.099976,835.099976,835.10 ,0,0,14/01/16,869.960022,0,13/10/16,791.849976,1,13/07/16,732.039978,1,13/04/16,686.169983,1,13/01/16,682.359985
14/04/17,843.330017,843.330017,843.330017,843.33 ,0,0,14/01/17,872.159973,0,13/10/17,789.619995,1,13/07/17,736.01001,1,13/04/17,670.969971,0,13/01/17,686.700012
14/04/22,859.890015,859.890015,859.890015,859.89 ,0,0,14/01/22,870.640015,0,13/10/22,802.76001,1,13/07/22,742.799988,1,13/04/22,669.880005,0,13/01/22,684.280029
14/04/23,855.109985,855.109985,855.109985,855.11 ,0,0,14/01/23,863.109985,0,13/10/23,800.419983,1,13/07/23,741.349976,1,13/04/23,685.130005,0,13/01/23,685.830017
14/04/24,855.400024,855.400024,855.400024,855.40 ,0,1,14/01/24,841.900024,0,13/10/24,805.219971,1,13/07/24,746.840027,1,13/04/24,693.080017,1,13/01/24,689.47998
14/04/25,842.789978,842.789978,842.789978,842.79 ,0,,14/01/25,,,13/10/25,805.530029,1,13/07/25,740.929993,1,13/04/25,699.039978,1,13/01/25,698.159973
14/04/28,846.01001,846.01001,846.01001,846.01 ,0,1,14/01/28,843.289978,0,13/10/28,804.77002,1,13/07/28,,,13/04/28,,,13/01/28,696.469971
14/04/29,857.179993,857.179993,857.179993,857.18 ,0,1,14/01/29,837.150024,0,13/10/29,808.159973,1,13/07/29,737.929993,1,13/04/29,702.190002,1,13/01/29,697.090027
14/04/30,858.51001,858.51001,858.51001,858.51 ,0,1,14/01/30,839.719971,0,13/10/30,808.26001,1,13/07/30,739.690002,1,13/04/30,705.549988,1,13/01/30,693.940002
14/05/02,855.289978,855.289978,855.289978,855.29 ,0,,14/02/02,,,13/11/02,,,13/08/02,751.51001,1,13/05/02,709.409973,0,13/02/02,
14/05/05,852.679993,852.679993,852.679993,852.68 ,0,1,14/02/05,819.070007,0,13/11/05,809.330017,1,13/08/05,751.599976,1,13/05/05,,,13/02/05,682.719971
14/05/06,847.909973,847.909973,847.909973,847.91 ,0,1,14/02/06,831.75,0,13/11/06,812.75,1,13/08/06,743.890015,1,13/05/06,722.039978,1,13/02/06,676.679993
14/05/07,851.72998,851.72998,851.72998,851.73 ,0,1,14/02/07,835.719971,0,13/11/07,815.01001,1,13/08/07,741,1,13/05/07,727.72998,1,13/02/07,677.52002
14/05/08,860.159973,860.159973,860.159973,860.16 ,0,,14/02/08,,,13/11/08,814.090027,1,13/08/08,746.159973,1,13/05/08,733.380005,1,13/02/08,683.349976
14/05/09,858.539978,858.539978,858.539978,858.54 ,0,,14/02/09,,,13/11/09,,,13/08/09,748.299988,1,13/05/09,734.650024,0,13/02/09,
14/05/12,869.039978,869.039978,869.039978,869.04 ,0,1,14/02/12,856.309998,0,13/11/12,814.01001,1,13/08/12,750.27002,1,13/05/12,,,13/02/12,684.179993
14/05/13,872.349976,872.349976,872.349976,872.35 ,0,1,14/02/13,860.869995,0,13/11/13,811.429993,1,13/08/13,755.090027,1,13/05/13,736.049988,1,13/02/13,689.679993
14/05/14,872.099976,872.099976,872.099976,872.10 ,0,1,14/02/14,866.570007,0,13/11/14,819.840027,1,13/08/14,757.450012,1,13/05/14,741.419983,1,13/02/14,683.280029
14/05/15,863.47998,863.47998,863.47998,863.48 ,0,,14/02/15,,,13/11/15,821.780029,1,13/08/15,751.710022,1,13/05/15,743.599976,1,13/02/15,680.580017
14/05/16,860.210022,860.210022,860.210022,860.21 ,0,,14/02/16,,,13/11/16,,,13/08/16,753.049988,1,13/05/16,744.169983,0,13/02/16,
14/05/19,863.26001,863.26001,863.26001,863.26 ,0,0,14/02/19,867.330017,0,13/11/19,824.51001,1,13/08/19,750.98999,1,13/05/19,,,13/02/19,693.48999
14/05/20,861.919983,861.919983,861.919983,861.92 ,0,0,14/02/20,863.190002,0,13/11/20,825.159973,1,13/08/20,745.23999,0,13/05/20,752,1,13/02/20,691.869995
14/05/21,866.98999,866.98999,866.98999,866.99 ,0,1,14/02/21,866.789978,0,13/11/21,824.219971,1,13/08/21,744.030029,0,13/05/21,753.440002,1,13/02/21,679.780029
14/05/22,869.619995,869.619995,869.619995,869.62 ,0,,14/02/22,,,13/11/22,826.219971,1,13/08/22,753.799988,0,13/05/22,758.219971,1,13/02/22,685.609985
