,Date,Open,High,Low,Close,Volume,Election_date,X3M_before,Close_3M_before,X3M_UP_DOWN,X6M_before,Close_6M_before,X6M_UP_DOWN,X9M_before,Close_9M_before,X9M_UP_DOWN,X12_before,Close_12_before,X12M_UP_DOWN,X15_before,Close_15_before,stock_gr
10835,11/10/01,487.209991,487.209991,487.209991,487.21,0,0,11/06/30,651.429993,0,11/03/30,624.140015,1,10/12/30,611.299988,1,10/09/30,545.460022,1,10/06/30,518.869995,-25.20915524
10898,12/01/01,520.72998,520.72998,520.72998,520.73,0,1,11/09/30,487.209991,1,11/06/30,651.429993,1,11/03/30,624.140015,1,10/12/30,611.299988,1,10/09/30,545.460022,6.879990148
10963,12/04/01,612.140015,612.140015,612.140015,612.14,0,1,11/12/30,520.72998,0,11/09/30,487.209991,0,11/06/30,651.429993,1,11/03/30,624.140015,1,10/12/30,611.299988,17.55420275
11025,12/07/01,568.840027,568.840027,568.840027,568.84,0,0,12/03/29,605.530029,0,11/12/29,516.409973,1,11/09/29,499.649994,0,11/06/29,643.789978,1,11/03/29,614.039978,-7.073545267
11090,12/10/01,635.299988,635.299988,635.299988,635.3,0,1,12/06/28,546.200012,1,12/03/28,616.099976,1,11/12/28,510.209991,1,11/09/28,494.679993,0,11/06/28,632.590027,11.68342592
11151,13/01/01,673.109985,673.109985,673.109985,673.11,0,1,12/09/28,635.299988,0,12/06/28,546.200012,0,12/03/28,616.099976,1,11/12/28,510.209991,1,11/09/28,494.679993,5.951518967
11213,13/04/01,695.76001,695.76001,695.76001,695.76,0,1,12/12/28,673.109985,0,12/09/28,635.299988,1,12/06/28,546.200012,0,12/03/28,616.099976,1,11/12/28,510.209991,3.364977493
11276,13/07/01,710.590027,710.590027,710.590027,710.59,0,1,13/03/28,695.76001,0,12/12/28,673.109985,1,12/09/28,635.299988,1,12/06/28,546.200012,0,12/03/28,616.099976,2.13148212
11342,13/10/01,770.590027,770.590027,770.590027,770.59,0,NA,13/06/30,NA,NA,13/03/30,NA,NA,12/12/30,NA,NA,12/09/30,NA,NA,12/06/30,NA,8.44368764
11403,14/01/01,853.140015,853.140015,853.140015,853.14,0,1,13/09/30,770.590027,0,13/06/30,NA,NA,13/03/30,NA,NA,12/12/30,NA,NA,12/09/30,NA,10.71257089
11466,14/04/01,856.419983,856.419983,856.419983,856.42,0,NA,13/12/31,NA,NA,13/09/30,770.590027,1,13/06/30,NA,NA,13/03/31,NA,NA,12/12/31,NA,0.384462105
11528,14/07/01,881.169983,881.169983,881.169983,881.17,0,NA,14/03/30,NA,NA,13/12/30,853.140015,1,13/09/30,770.590027,1,13/06/30,NA,NA,13/03/30,NA,2.88993718
11594,14/10/01,844.570007,844.570007,844.570007,844.57,0,0,14/06/30,881.169983,0,14/03/30,NA,NA,13/12/30,853.140015,1,13/09/30,770.590027,0,13/06/30,NA,-4.153568551
11655,15/01/01,879.539978,879.539978,879.539978,879.54,0,1,14/09/30,844.570007,1,14/06/30,881.169983,1,14/03/30,NA,NA,13/12/30,853.140015,1,13/09/30,770.590027,4.140568573
11718,15/04/01,1068.540039,1068.540039,1068.540039,1068.54,0,NA,14/12/31,NA,NA,14/09/30,844.570007,0,14/06/30,881.169983,1,14/03/31,856.419983,0,13/12/31,NA,21.48850536
11779,15/07/01,985.539978,985.539978,985.539978,985.54,0,0,15/03/30,1078.780029,0,14/12/30,879.539978,1,14/09/30,844.570007,0,14/06/30,881.169983,0,14/03/30,NA,-7.767608138
11845,15/10/01,885.73999,885.73999,885.73999,885.74,0,0,15/06/30,985.539978,1,15/03/30,1078.780029,1,14/12/30,879.539978,1,14/09/30,844.570007,0,14/06/30,881.169983,-10.12642815
11908,16/01/01,"13,452,474.00",NA,NA,979.19,NA,1,15/09/30,885.73999,0,15/06/30,985.539978,1,15/03/30,1078.780029,1,14/12/30,879.539978,1,14/09/30,844.570007,10.55050015
11970,16/04/01,"21,243,064.00",NA,NA,914.72,NA,NA,15/12/31,NA,NA,15/09/30,885.73999,1,15/06/30,985.539978,0,15/03/31,1068.540039,0,14/12/31,NA,-6.584013317
12034,16/07/01,"35,086,411.00",NA,NA,892.55,NA,0,16/03/30,921.56,0,15/12/30,979.19,1,15/09/30,885.73999,0,15/06/30,985.539978,0,15/03/30,1078.780029,-2.423692496
12100,16/10/01,"38,686,643.00",NA,NA,970.75,NA,1,16/06/30,892.55,0,16/03/30,921.56,1,15/12/30,979.19,1,15/09/30,885.73999,0,15/06/30,985.539978,8.761413926
